,symbol,percent_diff,min,max,avg,relative_diff,date
0,NIFTY 50,19.39,-30.61,29.12,10.13,-9.26,2024-10-01
1,NIFTY MIDCAP 100,29.62,-32.01,43.12,17.18,-12.440000000000001,2024-10-01
2,NIFTY BANK,13.31,-41.93,31.85,7.33,-5.98,2024-10-01
3,NIFTY 100,21.35,-30.11,29.39,10.33,-11.020000000000001,2024-10-01
4,NIFTY DIV OPPS 50,27.57,-26.32,34.11,12.33,-15.24,2024-10-01
5,NIFTY COMMODITIES,25.52,-33.81,39.74,13.88,-11.639999999999999,2024-10-01
6,NIFTY CONSUMPTION,30.08,-22.04,33.74,10.94,-19.14,2024-10-01
7,NIFTY FIN SERVICE,16.23,-36.43,31.49,7.45,-8.780000000000001,2024-10-01
8,NIFTY IT,21.1,-23.81,53.57,13.83,-7.270000000000001,2024-10-01
9,NIFTY MIDCAP 50,29.42,-33.56,42.06,17.51,-11.91,2024-10-01
10,NIFTY REALTY,34.56,-36.88,65.58,18.59,-15.970000000000002,2024-10-01
11,NIFTY INFRA,26.49,-28.91,37.19,14.02,-12.469999999999999,2024-10-01
12,NIFTY ENERGY,24.77,-32.44,45.15,12.86,-11.91,2024-10-01
13,NIFTY FMCG,20.53,-18.1,23.05,8.74,-11.790000000000001,2024-10-01
14,NIFTY MNC,27.75,-23.21,33.03,9.96,-17.79,2024-10-01
15,NIFTY PHARMA,30.26,-14.08,37.2,13.74,-16.520000000000003,2024-10-01
16,NIFTY PSE,35.5,-35.24,67.46,14.92,-20.58,2024-10-01
17,NIFTY PSU BANK,15.68,-50.91,61.52,14.03,-1.6500000000000004,2024-10-01
18,NIFTY SERV SECTOR,19.21,-33.1,31.27,8.79,-10.420000000000002,2024-10-01
19,NIFTY AUTO,35.16,-43.36,48.71,14.74,-20.419999999999995,2024-10-01
20,NIFTY METAL,27.75,-39.06,80.06,19.24,-8.510000000000002,2024-10-01
21,NIFTY MEDIA,5.81,-45.61,37.53,1.03,-4.779999999999999,2024-10-01
22,NIFTY 200,22.62,-30.31,31.08,11.23,-11.39,2024-10-01
23,NIFTY200 QUALTY30,25.8,-22.5,29.71,10.27,-15.530000000000001,2024-10-01
24,NIFTY ALPHA 50,32.8,-22.99,53.67,21.43,-11.369999999999997,2024-10-01
25,NIFTY MIDCAP 150,29.17,-29.29,41.54,17.33,-11.840000000000003,2024-10-01
26,NIFTY MIDSML 400,29.61,-30.7,42.62,17.66,-11.95,2024-10-01
27,NIFTY SMLCAP 50,32.11,-39.31,51.98,15.56,-16.549999999999997,2024-10-01
28,NIFTY SMLCAP 100,28.3,-38.44,47.66,16.18,-12.120000000000001,2024-10-01
29,NIFTY SMLCAP 250,30.37,-33.85,49.63,18.31,-12.060000000000002,2024-10-01
30,NIFTY50 VALUE 20,23.16,-22.12,33.01,12.77,-10.39,2024-10-01
31,NIFTY100 LIQ 15,19.41,-45.16,28.78,7.65,-11.76,2024-10-01
32,NIFTY 500,23.51,-30.21,32.17,11.96,-11.55,2024-10-01
33,NIFTY CPSE,36.53,-34.15,64.64,15.94,-20.590000000000003,2024-10-01
34,NIFTY GROWSECT 15,20.84,-2.91,23.72,10.74,-10.1,2024-10-01
35,NIFTY MID LIQ 15,32.72,-32.99,42.78,17.14,-15.579999999999998,2024-10-01
36,NIFTY NEXT 50,32.36,-27.22,41.14,12.02,-20.34,2024-10-01
37,NIFTY PVT BANK,12.14,-44.0,27.78,5.85,-6.290000000000001,2024-10-01
38,NIFTY50 EQL WGT,24.75,-3.84,27.44,13.89,-10.86,2024-10-01
39,NIFTY100 EQL WGT,27.19,-30.01,32.43,12.34,-14.850000000000001,2024-10-01
40,NIFTY100 LOWVOL30,24.69,-23.99,27.68,10.76,-13.930000000000001,2024-10-01
41,NIFTY100 QUALTY30,24.52,-26.05,27.71,10.07,-14.45,2024-10-01
42,NIFTY ALPHALOWVOL,28.75,-23.5,33.17,11.66,-17.09,2024-10-01
43,NIFTY MID SELECT,28.12,-34.47,40.87,15.03,-13.090000000000002,2024-10-01
44,NIFTY FINSRV25 50,21.09,-36.82,30.66,8.74,-12.35,2024-10-01
45,NIFTY HEALTHCARE,30.43,-12.58,34.18,14.51,-15.92,2024-10-01
46,NIFTY CONSR DURBL,32.58,-26.7,47.75,11.45,-21.13,2024-10-01
47,NIFTY OIL AND GAS,24.23,-32.76,48.41,13.85,-10.38,2024-10-01
48,NIFTY500 MULTICAP,25.75,-30.78,36.57,14.2,-11.55,2024-10-01
49,NIFTY LARGEMID250,25.38,-5.53,33.39,15.66,-9.719999999999999,2024-10-01
50,NIFTY100ESGSECLDR,24.47,-26.64,27.95,11.03,-13.44,2024-10-01
51,NIFTY200MOMENTM30,30.66,-20.85,43.59,16.18,-14.48,2024-10-01
52,NIFTY TOTAL MKT,23.97,-30.32,32.6,12.25,-11.719999999999999,2024-10-01
53,NIFTY MICROCAP250,37.37,-38.89,68.85,24.71,-12.659999999999997,2024-10-01
54,NIFTY M150 QLTY50,28.81,-24.26,36.67,12.72,-16.089999999999996,2024-10-01
55,NIFTY INDIA MFG,31.84,-31.71,41.46,15.28,-16.560000000000002,2024-10-01
56,NIFTY IND DIGITAL,28.67,-26.25,51.78,15.19,-13.480000000000002,2024-10-01
57,NIFTY100 ESG,22.39,-28.38,32.83,11.04,-11.350000000000001,2024-10-01
58,NIFTY200 ALPHA 30,32.19,-23.7,47.16,17.82,-14.369999999999997,2024-10-01
59,NIFTYM150MOMNTM50,32.28,-21.2,53.69,21.53,-10.75,2024-10-01
60,NIFTY TATA 25 CAP,45.33,-33.04,57.0,17.48,-27.849999999999998,2024-10-01
61,NIFTY MULTI MFG,30.86,-33.29,38.93,16.58,-14.280000000000001,2024-10-01
62,NIFTY MULTI INFRA,27.24,-32.39,37.27,15.85,-11.389999999999999,2024-10-01
63,NIFTY MIDSML HLTH,34.06,-11.55,40.38,15.11,-18.950000000000003,2024-10-01
