,symbol,percent_diff,min,max,avg,relative_diff
0,NIFTY 50,20.5,-2.03,28.6,12.86,-7.640000000000001
1,NIFTY MIDCAP 100,31.22,-1.05,39.91,20.6,-10.619999999999997
2,NIFTY BANK,16.12,-4.86,47.72,15.03,-1.0900000000000016
3,NIFTY 100,22.36,-2.37,28.57,13.06,-9.299999999999999
4,NIFTY DIV OPPS 50,26.7,-4.01,35.99,15.77,-10.93
5,NIFTY COMMODITIES,21.94,-3.71,38.79,17.88,-4.060000000000002
6,NIFTY CONSUMPTION,31.89,-4.44,31.89,12.93,-18.96
7,NIFTY FIN SERVICE,18.76,-5.33,42.12,13.08,-5.6800000000000015
8,NIFTY IT,21.74,-9.42,45.29,13.04,-8.7
9,NIFTY MIDCAP 50,29.95,-3.01,39.17,20.83,-9.120000000000001
10,NIFTY REALTY,38.18,-9.58,68.38,26.46,-11.719999999999999
11,NIFTY INFRA,26.72,-4.94,38.03,16.94,-9.779999999999998
12,NIFTY ENERGY,23.81,-9.81,45.35,16.13,-7.68
13,NIFTY FMCG,22.32,-7.27,22.43,10.76,-11.56
14,NIFTY MNC,25.3,-3.8,32.45,11.8,-13.5
15,NIFTY PHARMA,30.28,-9.48,34.39,8.6,-21.68
16,NIFTY PSE,32.09,-12.88,69.47,23.45,-8.640000000000004
17,NIFTY PSU BANK,15.12,-9.59,63.62,28.34,13.22
18,NIFTY SERV SECTOR,21.3,-3.35,34.92,12.71,-8.59
19,NIFTY AUTO,33.83,-5.27,48.26,18.47,-15.36
20,NIFTY METAL,19.36,-11.28,77.93,23.22,3.8599999999999994
21,NIFTY MEDIA,1.36,-15.53,39.54,6.57,5.21
22,NIFTY 200,23.71,-2.23,29.96,14.06,-9.65
23,NIFTY200 QUALTY30,26.54,-3.01,28.45,11.8,-14.739999999999998
24,NIFTY ALPHA 50,36.17,-11.62,48.52,21.57,-14.600000000000001
25,NIFTY MIDCAP 150,30.33,-0.76,38.11,20.26,-10.069999999999997
26,NIFTY MIDSML 400,30.88,-1.67,39.69,20.8,-10.079999999999998
27,NIFTY SMLCAP 50,34.19,-14.97,46.84,19.42,-14.769999999999996
28,NIFTY SMLCAP 100,30.13,-10.52,44.6,20.2,-9.93
29,NIFTY SMLCAP 250,31.85,-3.66,45.66,21.93,-9.920000000000002
30,NIFTY50 VALUE 20,23.86,-1.83,30.0,14.67,-9.19
31,NIFTY100 LIQ 15,19.54,-7.52,31.18,14.84,-4.699999999999999
32,NIFTY 500,24.57,-1.83,30.81,14.81,-9.76
33,NIFTY CPSE,35.37,-13.11,66.2,25.2,-10.169999999999998
34,NIFTY GROWSECT 15,21.45,-4.62,23.26,10.32,-11.129999999999999
35,NIFTY MID LIQ 15,32.61,-3.29,40.71,19.82,-12.79
36,NIFTY NEXT 50,31.53,-6.88,41.9,14.85,-16.68
37,NIFTY PVT BANK,15.49,-4.89,43.59,13.42,-2.0700000000000003
38,NIFTY50 EQL WGT,24.91,-1.64,27.03,14.36,-10.55
39,NIFTY100 EQL WGT,27.55,-3.89,31.56,15.4,-12.15
40,NIFTY100 LOWVOL30,26.26,-2.31,26.26,12.46,-13.8
41,NIFTY100 QUALTY30,25.07,-2.76,26.35,12.42,-12.65
42,NIFTY ALPHALOWVOL,28.97,-3.64,33.07,14.14,-14.829999999999998
43,NIFTY MID SELECT,27.91,-3.49,38.93,18.29,-9.620000000000001
44,NIFTY FINSRV25 50,23.64,-5.87,39.96,14.27,-9.370000000000001
45,NIFTY HEALTHCARE,31.58,-7.78,33.75,10.21,-21.369999999999997
46,NIFTY CONSR DURBL,33.9,-5.11,46.97,16.17,-17.729999999999997
47,NIFTY OIL AND GAS,21.36,-9.14,45.11,16.37,-4.989999999999998
48,NIFTY500 MULTICAP,26.91,-1.59,34.42,17.19,-9.719999999999999
49,NIFTY LARGEMID250,26.5,-1.63,33.42,16.72,-9.780000000000001
50,NIFTY100ESGSECLDR,25.75,-2.7,26.47,13.34,-12.41
51,NIFTY200MOMENTM30,28.65,-7.52,43.07,17.42,-11.229999999999997
52,NIFTY TOTAL MKT,25.02,-1.83,31.16,15.14,-9.879999999999999
53,NIFTY MICROCAP250,38.49,-2.0,64.54,28.74,-9.750000000000004
54,NIFTY M150 QLTY50,27.98,-5.3,35.93,14.78,-13.200000000000001
55,NIFTY INDIA MFG,30.4,-1.85,41.61,17.23,-13.169999999999998
56,NIFTY IND DIGITAL,31.13,-10.08,46.33,14.12,-17.009999999999998
57,NIFTY100 ESG,23.47,-4.73,29.97,12.83,-10.639999999999999
58,NIFTY200 ALPHA 30,31.03,-10.79,47.91,19.94,-11.09
59,NIFTYM150MOMNTM50,34.38,-0.14,49.42,23.71,-10.670000000000002
60,NIFTY TATA 25 CAP,43.49,-1.21,52.73,21.35,-22.14
61,NIFTY MULTI MFG,29.34,-0.44,38.35,18.52,-10.82
62,NIFTY MULTI INFRA,27.87,-3.55,37.52,19.8,-8.07
63,NIFTY MIDSML HLTH,37.15,-12.47,39.83,11.36,-25.79
